OBJECTID,NEIGH_NO,Neighborhood Subtype,Neighborhood Name,Neighborhood Type,Area Acres,Area Square Miles,ACS Vinatage,Total Population,People of Color,Percent People of Color,Total Households,Percent less than a high school education,Percent bachelor degree or higher,Total Housing Units,Percent 1-unit detached,Percent of Population Speaks a Language Other than English,Percent of Population Speaks English Less than Very Well,Percent of Households with Limited English,Renter Households,Percent of Renter Households,Owner Households,Percent of Owner Households,Percent of Population 18 years and Over with a Disability,Percent of the Civilian Noninstitutionalized Population without Health Insurance,Percent of Workers Taking Public Transit,Per Capita Income,"Percent of Households with Income $100,000 or more","Percent of Family Households with Income $100,000 or more","Percent of Nonfamily Households with Income $100,000 or more",Percent of Population with income to poverty ratio below 2.0,People per Acre,Households per Acre,Housing Units per Acre,Children under 5,Children under 18,Older Adults 65 and over,Median Age,Male,Female,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some Other Race alone,Not Hispanic or Latino Two or more races,Hispanic or Latino (of any race),Family Households (families),Nonfamily Households,Householder Living Alone,Less than a high school education,Bachelor degree or higher,Workers 16 years and over,Worked from home,Car truck or van - drove alone,Public Transportation (excluding taxicab),No Vehicles Available,Travel Time <15 Minutes,Travel Time 15-29 Minutes,Travel Time 30-44 Minutes,Travel Time 45-59 Minutes,Travel Time 60-89 Minutes,Travel Time 90+ Minutes,1-unit detached,Low Density Housing (1-unit att - 4 units),Medium Density Housing (5-49 units),High Density Housing (50+ units),Overcrowded Units (>1 occupants/room),No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,Population 18 years and Over,Population 18 years and Over with a Disability,Population Civilian Noninstitutionalized,Population without Health Insurance,Population 5 years and Over,Population Speaks a Language Other than English,Population Speaks English Less than Very Well,Households with Limited English,Spanish Limited English Speaking Households,Other Indo-European Languages Limited English Speaking Households,Asian and Pacific Island Languages Limited English Speaking Households,Other Languages Limited English Speaking Households,Gross Rent 30% or more of Household Income,Owner housing units with a mortgage where selected monthly onwer costs as a percentage of household income can be computed,Monthly Costs 30% or more of Household Income (owners with a mortgage),Population 25 years and Over,Household Population,Family Household Population,Owner Household Population,Renter Household Population,"Household Income $100,000 or more","Family Household Income $100,000 or more","Nonfamily Household Income $100,000 or more","Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Households with People under 18 years,Households with People 65 years and over,Working Age Adults to 64 Years,Group Quarters Population,Population 16 years and over,Population 16 years and over not in labor force,Population 16 years and over in civilian labor force,Population 16 years and over in civilian labor force unemployed,Population for whom poverty status is determined,People with Income to Poverty Ratio Under .50,People with Income to Poverty .50 to .99,People with Income to Poverty 1.00 to 1.24,People with Income to Poverty 1.25 to 1.49,People with Income to Poverty 1.50 to 1.84,People with Income to Poverty 1.85 to 1.99,People with Income to Poverty 2.00 and over,Families for whom poverty status is determined,Families with income in the past 12 months below poverty level,Married-couple family with related children of the householder under 18 years below poverty,Married-couple family without related children of the householder under 18 years below poverty,Single parents with related children of the householder under 18 years below poverty,Other family below poverty,Population 20 to 64 years for whom poverty status is determined,Population 20 to 64 years below poverty,Population 20 to 64 years below poverty employed,Population 20 to 64 years employed,"Earnings $50,000 or More Male Workers","Earnings $50,000 or More Female Workers",Population 16 years and over with earnings,Males 16 years and over with earnings,Females 16 years and over with earnings,Percent of Primary School Students (grades 1-8) Enrolled in Private School,Percent of Secondary School Students (grades 9-12) Enrolled in Private School,Percent of Households with 1 or more Persons with a Disability,Primary School Enrollment (grades 1-8)  in Public School,Primary School Enrollment (grades 1-8)  in Private School,Secondary School Enrollment (grades 9-12) in Public School,Secondary School Enrollment (grades 9-12) in Private School,Households with 1 or Persons with a Disability,Shape__Area,Shape__Length
30,114,Urban Center,Bitter Lake,CNTR,362.496197575446,0.566400308711635,5Y24,6970,3400,48.8,3753,6.7,42.9,4054,20.8,28,11.5,9.5,2434,64.9,1319,35.1,17.6,5.9,10.3,48683,25.7,42.1,15.3,30.7,19.2277878957595,10.3532120477454,11.183565585281,312,1084,1489,41.4,3203,3767,3570,708,34,799,76,12,551,1220,1397,2356,2051,370,2355,3535,842,1993,364,875,346,1031,854,206,249,7,842,470,706,1942,216,545,1127,1304,624,106,47,5881,1036,6965,408,6658,1864,763,357,100,36,128,93,1632,909,328,5494,6909,4067,2913,3996,963,588,360,1803,744,710,151,311,638,1344,4397,61,5975,1987,3988,269,6938,474,568,225,139,628,97,4807,1397,159,10,31,75,43,4350,463,146,3404,1079,1207,4119,1918,2201,12.5,23.4,24.8,442,63,147,45,931,15790334.3663635,25042.9689903633
31,115,Urban Center,Central District,CNTR,231.970560775473,0.362454001211677,5Y24,6235,1888,30.3,2957,2,70.4,3040,38.2,13.9,2.7,3.5,1689,57.1,1268,42.9,14.8,3.4,14.3,83519,51.6,68,42,21.9,26.8784106877895,12.7473072018915,13.105111225482,237,655,919,34.5,3073,3162,4347,366,17,703,17,0,457,328,1053,1904,1252,93,3342,3719,1159,1280,531,424,518,1348,427,210,57,0,1162,697,765,416,31,422,594,763,772,290,116,5450,805,6105,209,5998,835,163,104,34,49,21,0,671,1004,353,4745,6018,2904,2795,3223,1527,716,800,2696,266,515,174,73,472,627,4661,217,5696,1624,4035,311,6142,459,432,184,103,109,61,4794,1053,73,0,7,53,13,4542,647,274,3535,1384,1419,4276,2209,2067,20.3,50.2,21.4,165,42,117,118,632,10104637.6273804,14873.4716942612
32,124,Urban Center,Graham,CNTR,299.654570917696,0.4682102670589,5Y24,4304,3037,70.6,1732,6.1,49.8,1803,72.3,30,14.4,11.6,744,43,988,57,11.2,3.8,5.1,66172,51.1,60.8,29.1,25.7,14.3632048956201,5.77998858717799,6.01692807314198,467,965,584,37.5,2408,1896,1267,1306,68,967,16,0,393,287,1165,567,497,197,1596,2116,936,825,108,159,231,354,401,150,8,36,1304,133,198,168,98,20,430,523,425,294,40,3339,375,4304,165,3837,1152,552,201,0,0,142,59,373,696,145,3208,4292,3625,2498,1794,885,708,165,1126,479,471,48,112,631,453,2755,12,3364,1070,2294,58,4304,295,331,0,224,50,208,3196,1165,104,22,23,59,0,2694,222,58,2083,945,605,2353,1272,1081,6.8,0,20.6,342,25,31,0,356,13052953.1092682,17548.7650105351
33,127,Urban Center,Westwood-Highland Park,CNTR,275.515968388518,0.430493700607059,5Y24,6383,3572,56,2748,11.8,45.2,2831,37.1,39.8,15.4,4,1241,45.2,1507,54.8,14.7,12,14.8,51640,48.4,43.3,46.7,19.4,23.1674412097924,9.97401354292801,10.2752664992828,284,1081,614,35.4,3329,3054,2811,499,0,612,7,35,434,1985,1495,1253,855,554,2129,4165,949,2020,618,297,607,1448,541,415,148,57,1050,784,748,249,82,95,341,1249,896,141,26,5302,777,6383,766,6099,2429,937,109,31,0,49,29,502,1303,447,4711,6371,4704,3358,3013,1331,648,585,1728,963,866,158,503,679,486,4688,12,5474,1043,4431,213,6383,144,211,444,88,239,112,5145,1495,35,0,10,2,23,4449,227,154,3957,1119,1092,4387,2370,2017,0,12.7,25.7,471,0,322,47,706,12001475.5829315,18344.5049339418
34,207,Urban Center,Green Lake,CNTR,108.722998014128,0.169879684397075,5Y24,3711,1458,39.3,2402,0.9,82.3,2643,3.9,16.3,2.6,1,1880,78.3,522,21.7,11.1,2.1,18.9,88983,51,78.4,43.9,24.4,34.1326128582085,22.0928418446286,24.3094841779157,80,164,481,30.9,1920,1791,2253,35,0,429,0,55,423,516,490,1912,1414,29,2670,2660,807,839,502,442,201,1058,400,108,86,0,102,455,980,1106,93,565,971,643,177,46,0,3492,388,3656,78,3631,593,96,24,0,0,24,0,786,429,60,3246,3656,1107,913,2743,1224,384,840,2115,228,180,88,67,155,368,3066,55,3588,701,2887,209,3656,284,235,45,193,65,69,2765,490,44,0,0,17,27,3064,478,178,2589,1000,909,2957,1602,1355,0,0,15.8,0,0,66,0,379,4735973.79330444,11310.28992389
35,110,Urban Center,North Beacon Hill,CNTR,266.861270666251,0.416970735416018,5Y24,7204,3936,54.6,3437,9.2,59.9,3755,44.8,26.4,11,10.9,1737,50.5,1700,49.5,12.7,6.9,13.3,72208,58.7,59.5,57,18.1,26.9952997751017,12.8793511003643,14.0709814902147,169,782,1045,38.4,3986,3218,3268,292,28,1642,94,34,1173,673,1569,1868,1209,554,3617,4681,1794,1741,624,535,622,1009,792,293,142,29,1684,770,963,320,182,403,529,989,893,496,127,6422,815,7204,494,7035,1857,772,375,164,0,211,0,727,1125,237,6040,7144,4138,4017,3127,2018,933,1064,3115,749,456,102,313,545,732,5377,60,6473,1589,4884,149,7204,317,345,205,132,196,110,5899,1569,163,40,103,20,0,5335,357,185,4501,1933,1282,5106,2944,2162,38.6,0,20.3,293,184,112,0,697,11624476.950119,19119.2682202744
36,502,Manufacturing Industrial ,Greater Duwamish,CNTR,4896.85686423164,7.65133885036193,5Y24,1945,778,40,847,9.8,48.8,947,48.2,27.1,9.7,4,455,53.7,392,46.3,18.2,6.1,6.7,55440,47.7,44.9,32.8,19.1,0.397193557811943,0.17296809432736,0.1933893569398,96,361,139,35.5,1119,826,1167,100,28,360,0,7,117,166,441,406,321,128,635,1232,135,894,82,94,190,473,379,5,44,6,456,345,139,7,39,112,189,221,230,86,9,1512,275,1873,115,1849,501,180,34,8,0,26,0,220,280,48,1302,1945,1451,1108,837,404,198,133,574,170,150,145,126,194,116,1445,0,1690,359,1259,94,1945,99,78,49,82,64,0,1573,441,13,0,6,0,7,1398,127,62,1091,501,320,1345,771,574,0,13.4,29.3,28,0,142,22,248,213307085.005417,240032.27626876
37,111,Urban Center,Columbia City,CNTR,334.73139001156,0.523017796893062,5Y24,9139,5002,54.7,3919,12.9,64.7,4379,21.6,40.1,18.5,14.9,2586,66,1333,34,11.2,2.3,16.5,63051,52,61.9,36.9,31.5,27.3024887199387,11.7078950972141,13.0821313168412,576,1972,586,33.7,4387,4752,4137,2198,28,1576,0,29,436,735,2104,1815,1370,831,4176,4889,2228,1494,808,703,403,1123,632,253,207,43,945,1441,1160,812,288,209,1185,1012,1062,388,63,7167,803,9139,212,8563,3438,1585,582,60,0,273,249,1378,1140,144,6458,9057,6732,3513,5544,2037,1303,670,3107,711,801,173,269,1210,525,6581,82,7317,2024,5293,232,9119,1060,941,539,180,125,28,6246,2104,380,94,110,74,102,6346,1090,386,4899,1948,1678,5445,2783,2662,15.3,2.2,17.6,866,156,353,8,688,14580899.3487549,25179.6499110116
38,205,Urban Center,West Seattle Junction,CNTR,367.266391543833,0.57385373678724,5Y24,10636,3555,33.4,6518,2,62.3,7118,17.4,14,3.2,3.9,4438,68.1,2080,31.9,9.8,3.8,10.9,82852,52.2,75.9,40.2,14.3,28.959905520597,17.7473358577709,19.3810274065071,366,1102,1308,39.1,5586,5050,7081,938,0,790,25,95,768,939,2014,4504,3697,180,5698,7274,2543,3184,796,792,1151,1379,1165,621,376,39,1239,365,2563,2951,196,1211,2296,1966,809,223,13,9442,921,10544,399,10270,1435,325,253,0,49,204,0,1755,1456,521,9147,10594,5205,3940,6654,3404,1529,1809,4447,507,1638,312,475,810,969,8226,42,9597,1873,7657,278,10597,409,397,289,111,237,71,9083,2014,50,35,13,0,2,8165,680,363,7116,3271,2454,7851,4454,3397,26.5,0,13.1,352,127,176,0,853,15998124.0156708,21581.2129131827
39,206,Urban Center,Morgan Junction,CNTR,180.299206966466,0.281717510885102,5Y24,4895,1100,22.5,2369,1,63.4,2433,52.2,5.8,0.8,0.6,892,37.7,1477,62.3,11.1,5.4,9.2,82223,66.9,80.7,54.9,13.1,27.1493151986544,13.1392702156511,13.4942357259093,299,766,733,40.4,2592,2303,3795,107,0,149,83,5,344,412,1105,1264,813,40,2568,3074,1176,1263,282,247,355,690,531,167,155,0,1269,438,619,88,0,109,378,630,891,281,80,4129,460,4895,265,4596,268,38,14,0,14,0,0,470,1179,225,4048,4884,3133,3492,1392,1586,892,694,1759,367,608,169,177,497,523,3396,11,4172,911,3261,181,4895,53,349,49,102,87,0,4255,1105,0,0,0,0,0,3368,373,184,2867,1334,1024,3375,1855,1520,11.8,0,17.5,262,35,70,0,414,7853833.45545959,16371.2209833896
